"dataset","region","location","site","month","year","year.of.otter.occupancy","otter.occupation.time","Haliotis.kamtschatkana","Pomaulax.gibberosus","Costaria.costata","Dermasterias.imbricata","Desmarestia.spp","Ecklonia.arborea","Henricia.spp","Laminaria.setchellii","Macrocystis.pyrifera","Nereocystis.luetkeana","Orthasterias.koehleri","Pisaster.spp","Pleurophycus.gardneri","Pterygophora.californica","Pycnopodia.helianthoides","Green.urchin","Red.urchin","Purple.urchin","algae","understory","epibenthic","macro_canopy","nereo_canopy","urchins","algae_urchin_total_density","comm_state","state"
"WCVI_random","WCVI","Bamfield","Blowhole",6,1988,NA,NA,0.816326530612245,0,0,0.102040816326531,0.102040816326531,0,0,0,0,0,0,0,0,0,0,0,5.71428571428572,0.102040816326531,0.102040816326531,0.102040816326531,0,0,0,5.81632653061225,5.91836734693878,"urchin","1"
"WCVI_random","WCVI","Bamfield","Kirby Pt",6,1988,NA,NA,0.714285714285714,0,0,0.102040816326531,0,0,0,0,0,0,0.306122448979592,0,0,0,0.306122448979592,0,8.6734693877551,0,0,0,0,0,0,8.6734693877551,8.6734693877551,"urchin","1"
"WCVI_random","WCVI","Bamfield","Wizard",6,1988,NA,NA,0,2.14285714285714,0,0,0.306122448979592,0,0.204081632653061,0,0,0,0,0,0,0,0.102040816326531,0,3.16326530612245,0,0.306122448979592,0.306122448979592,0,0,0,3.16326530612245,3.46938775510204,"urchin","1"
"WCVI_random","WCVI","Bamfield","Cia Rk",7,1988,NA,NA,0.510204081632653,1.02040816326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102040816326531,9.69387755102041,0,0,0,0,0,0,9.79591836734694,9.79591836734694,"urchin","1"
"WCVI_random","WCVI","Bamfield","EdKing1",7,1988,NA,NA,0.714285714285714,0,0,0,0,0,0,0.204081632653061,0,0,0,0,0,0,0,0.306122448979592,6.63265306122449,0,0.204081632653061,0,0.204081632653061,0,0,6.93877551020408,7.14285714285714,"urchin","1"
"WCVI_random","WCVI","Bamfield","EdKing2",7,1988,NA,NA,0.102040816326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102040816326531,0.102040816326531,8.6734693877551,0,0,0,0,0,0,8.77551020408163,8.77551020408163,"urchin","1"
"WCVI_random","WCVI","Bamfield","Helby",7,1988,NA,NA,0.204081632653061,1.22448979591837,0,0,0.408163265306123,0,0,0,0,0,0,0,0,0,0,0,4.38775510204082,0,0.408163265306123,0.408163265306123,0,0,0,4.38775510204082,4.79591836734694,"urchin","1"
"WCVI_random","WCVI","Bamfield","Scotts Bay",7,1988,NA,NA,0.510204081632653,0,0,0.102040816326531,0,0,0,0,0,0,0.102040816326531,0,0,0,0.102040816326531,0,8.97959183673469,0,0,0,0,0,0,8.97959183673469,8.97959183673469,"urchin","1"
"WCVI_random","WCVI","Bamfield","Self Pt",7,1988,NA,NA,0,1.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.102040816326531,0,2.95918367346939,0,0,0,0,0,0,2.95918367346939,2.95918367346939,"urchin","1"
"WCVI_random","WCVI","Bamfield","Ship Is",7,1988,NA,NA,0.306122448979592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57142857142857,10.1020408163265,0.408163265306123,0,0,0,0,0,14.0816326530612,14.0816326530612,"urchin","1"
"WCVI_random","WCVI","Bamfield","Taylor Its",7,1988,NA,NA,1.12244897959184,1.73469387755102,0,0,0,0,0,0,0,0,0.204081632653061,0,0,0,0.102040816326531,0,4.08163265306123,0,0,0,0,0,0,4.08163265306123,4.08163265306123,"urchin","1"
"WCVI_random","WCVI","Bamfield","Cia Rk",7,2007,NA,NA,0,14.2857142857143,0,0,0,0,0.0680272108843538,0,0,0,0,0,0,0,0,0,4.82993197278912,0,0,0,0,0,0,4.82993197278912,4.82993197278912,"urchin","1"
"WCVI_random","WCVI","Bamfield","EdKing1",7,2007,NA,NA,0,0,0,0.272108843537415,0,0,1.15646258503401,0,0,0,0.0680272108843538,0,0,0,0.0680272108843538,0,7.61904761904762,0,0,0,0,0,0,7.61904761904762,7.61904761904762,"urchin","1"
"WCVI_random","WCVI","Bamfield","EdKing2",7,2007,NA,NA,0.0680272108843538,1.97278911564626,0,0.272108843537415,0,0,0,0,0,0,0.136054421768708,0,0,0,0.272108843537415,0.0680272108843538,10.3401360544218,0,0,0,0,0,0,10.4081632653062,10.4081632653062,"urchin","1"
"WCVI_random","WCVI","Bamfield","Execution",7,2007,NA,NA,0,0,0,0.0680272108843538,0,0,0.272108843537415,0,0,0,0,0,0,0,0.204081632653061,0.272108843537415,6.66666666666667,0,0,0,0,0,0,6.93877551020408,6.93877551020408,"urchin","1"
"WCVI_random","WCVI","Bamfield","Grappler",7,2007,NA,NA,0.0680272108843538,0.612244897959184,0,0,0.0680272108843538,0,0.136054421768708,0,0,0,0.272108843537415,0,0,0,0.272108843537415,0,4.48979591836735,0,0.0680272108843538,0.0680272108843538,0,0,0,4.48979591836735,4.5578231292517,"urchin","1"
"WCVI_random","WCVI","Bamfield","Helby",7,2007,NA,NA,0.0680272108843538,7.89115646258504,0,0.0680272108843538,0.136054421768708,0,0,0,0,0,0.0680272108843538,0,0,0,0.136054421768708,0,7.14285714285714,0.680272108843538,0.136054421768708,0.136054421768708,0,0,0,7.82312925170068,7.95918367346939,"urchin","1"
"WCVI_random","WCVI","Bamfield","Kirby Pt",7,2007,NA,NA,0.0680272108843538,0.136054421768708,0,0.204081632653061,0.476190476190476,0,0,0,0,0,0.0680272108843538,0,0,0,0.0680272108843538,0,11.8367346938776,0,0.476190476190476,0.476190476190476,0,0,0,11.8367346938776,12.3129251700681,"urchin","1"
"WCVI_random","WCVI","Bamfield","Prasiola",7,2007,NA,NA,0,0.204081632653061,0,0.136054421768708,0,0,0.136054421768708,0.0680272108843538,0,0.0680272108843538,0.0680272108843538,0,0,0,0.0680272108843538,0,5.51020408163265,0,0.136054421768708,0,0.0680272108843538,0,0.0680272108843538,5.51020408163265,5.64625850340136,"urchin","1"
"WCVI_random","WCVI","Bamfield","Scotts Bay",7,2007,NA,NA,0.136054421768708,0.54421768707483,0,0.0680272108843538,0,0,0.136054421768708,0,0,0,0.136054421768708,0,0,0,0.0680272108843538,0,10.8843537414966,0,0,0,0,0,0,10.8843537414966,10.8843537414966,"urchin","1"
"WCVI_random","WCVI","Bamfield","Self Pt",7,2007,NA,NA,0.136054421768708,0.680272108843538,0,0.0680272108843538,0,0,0.136054421768708,0,0,0,0.340136054421769,0,0,0,0.0680272108843538,0,9.72789115646259,0,0,0,0,0,0,9.72789115646259,9.72789115646259,"urchin","1"
"WCVI_random","WCVI","Bamfield","Seppings",7,2007,NA,NA,0.272108843537415,2.10884353741497,0,0.136054421768708,0,0,0.408163265306123,0,0,0,0.204081632653061,0,0,0,0.0680272108843538,0,5.03401360544218,0,0,0,0,0,0,5.03401360544218,5.03401360544218,"urchin","1"
